graph_id;vertices;edges;algorithm;total_cost;operations_count;execution_time_ms
1;5;10;Prim;6,67;33;0,09
1;5;10;Kruskal;6,67;16;0,08
2;10;30;Prim;18,04;88;0,33
2;10;30;Kruskal;18,04;45;0,06
3;15;45;Prim;35,38;136;0,71
3;15;45;Kruskal;35,38;89;0,14
4;20;60;Prim;48,75;176;0,37
4;20;60;Kruskal;48,75;130;0,37
5;25;75;Prim;51,86;228;0,29
5;25;75;Kruskal;51,86;126;0,55
6;30;90;Prim;80,77;273;0,24
6;30;90;Kruskal;80,77;218;0,40
7;60;180;Prim;130,31;534;0,25
7;60;180;Kruskal;130,31;338;0,46
8;90;270;Prim;211,33;808;0,41
8;90;270;Kruskal;211,33;644;0,36
9;120;360;Prim;273,61;1080;0,33
9;120;360;Kruskal;273,61;1076;0,70
10;150;450;Prim;382,41;1355;0,35
10;150;450;Kruskal;382,41;1097;0,88
11;180;540;Prim;421,62;1628;0,50
11;180;540;Kruskal;421,62;1331;1,22
12;210;630;Prim;526,31;1899;0,36
12;210;630;Kruskal;526,31;1463;1,56
13;240;720;Prim;528,58;2161;0,36
13;240;720;Kruskal;528,58;1853;1,36
14;270;810;Prim;637,95;2444;0,39
14;270;810;Kruskal;637,95;2351;0,81
15;300;900;Prim;772,10;2706;0,36
15;300;900;Kruskal;772,10;2411;1,30
16;350;1400;Prim;704,50;3959;0,47
16;350;1400;Kruskal;704,50;4288;1,59
17;400;1600;Prim;800,80;4505;0,69
17;400;1600;Kruskal;800,80;3282;1,22
18;500;2000;Prim;1093,71;5644;0,67
18;500;2000;Kruskal;1093,71;5149;1,71
19;600;2400;Prim;1276,47;6775;0,63
19;600;2400;Kruskal;1276,47;5432;3,04
20;700;2800;Prim;1455,58;7929;0,60
20;700;2800;Kruskal;1455,58;6402;2,50
21;800;3200;Prim;1750,51;9054;0,84
21;800;3200;Kruskal;1750,51;8788;3,44
22;850;3400;Prim;1777,49;9615;0,75
22;850;3400;Kruskal;1777,49;9981;4,23
23;900;3600;Prim;1942,32;10177;1,02
23;900;3600;Kruskal;1942,32;9722;6,40
24;950;3800;Prim;1944,91;10736;0,85
24;950;3800;Kruskal;1944,91;8260;7,10
25;1000;4000;Prim;2065,49;11280;0,90
25;1000;4000;Kruskal;2065,49;11118;3,96
26;1300;5200;Prim;2713,52;14691;1,19
26;1300;5200;Kruskal;2713,52;12540;8,00
27;1600;6400;Prim;3316,37;18148;1,46
27;1600;6400;Kruskal;3316,37;18165;6,95
28;2000;8000;Prim;4284,87;22637;2,12
28;2000;8000;Kruskal;4284,87;23458;15,58
